STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
PUNJAB,FARIDKOT,FARIDKOT;JAITU;KOT KAPURA;FATEHGARH;Community center,30.436666666535785,74.97999999952513,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,FIROZPUR,Chak Kandhe Shah-Pz,30.762777780460933,74.367777780432,Manual,,,,,14.06,,,,,15.19,,11.5,2018
PUNJAB,KAPURTHALA,KAPURTHALA;BHOLATH ;DHILWAN ;HAMIRA ;Vet. Hospital,31.458055555479582,75.4330555550545,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,BATHINDA,Raike Kalan,30.130555560188313,74.66805555952553,Manual,,,,2.59,2.59,,,3.6,,3.06,,2.91,2018
PUNJAB,MOGA,Dara Pur,30.794444440246956,74.96388888992769,Manual,,,,,,,,,,,,,2018
PUNJAB,MUKTSAR,Khirkian Wala-Pz,30.447222220321922,74.62638889025575,Manual,,,,,1.78,,,,,,,,2018
PUNJAB,HOSHIARPUR,Bajwara,31.51694443994127,75.9541666697138,Manual,,,,,,,,,,,,,2018
PUNJAB,PATIALA,Abalwal1(shallow),30.349999999863897,76.35416667030336,Manual,,,,,,,,,,,,,2018
PUNJAB,JALANDHAR,Authala,31.313888889815644,75.45777778013756,Manual,,,,,,,,,,,,,2018
PUNJAB,BATHINDA,Kot Bhaktu-Pz,30.044722219693337,74.96694444035994,Manual,,,,,,,,,,6.46,,,2018
PUNJAB,JALANDHAR,Akalpur-Pz,31.05416667040966,75.76111110959742,Manual,,,,,18.8,,,,,18.7,,18.4,2018
PUNJAB,KAPURTHALA,Dalla,31.174444440066168,75.2422222199072,Manual,,,,,,,,,,30,,,2018
PUNJAB,HOSHIARPUR,Bassi Mustafa,31.51805556029647,75.98888889051405,Manual,,,,,,,,,,,,,2018
PUNJAB,FIROZPUR,FEROZEPUR;GURU HAR SAHAI ;MAMDOT;MAMDOT;Vet. Hospital,30.869999999988696,74.41805556042178,MANUAL,,,,,,,,,,,,,2018
PUNJAB,MOGA,Mari Mustfa-PZ,30.598055560221717,75.07138889038941,Manual,,,,,,,,,,,,,2018
