STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,MAY (Level m),AUG (Level m),YEAR,geometry
HARYANA,SONIPAT,BOREWELL IN FRONT OF CETP HSIIDC RAI SONEPAT,28.92925600040836,77.08373499977463,MANUAL,,,1996,POINT (77.08373499977463 28.92925600040836)
HARYANA,BHIWANI,Tosham,28.874999999573106,75.91666666992386,Manual,6.71,5.41,1996,POINT (75.91666666992386 28.87499999957311)
HARYANA,SONIPAT,Barauli-Pz,29.01944444018436,77.02944444001021,Manual,,,1996,POINT (77.02944444001021 29.01944444018436)
HARYANA,PANIPAT,Untilya,29.391666670042905,76.84999999989627,Manual,4.07,1.49,1996,POINT (76.84999999989627 29.39166667004291)
HARYANA,MAHENDRAGARH,Dhancholi-DW,27.99333333034193,75.97138888980308,Manual,,,1996,POINT (75.97138888980308 27.99333333034193)
HARYANA,SONIPAT,Garhwal,29.183333329586798,76.53888889030802,Manual,3.74,2.23,1996,POINT (76.53888889030802 29.1833333295868)
HARYANA,SIRSA,Dhudianwali3(d),29.599999999548544,74.71666666954278,Manual,,,1996,POINT (74.71666666954278 29.59999999954854)
HARYANA,SONIPAT,Bega Pz,29.154166669668573,77.11250000002585,Manual,,,1996,POINT (77.11250000002585 29.15416666966857)
HARYANA,KURUKSHETRA,Bodhni (s),30.054166669606317,76.55833333035349,Manual,,,1996,POINT (76.55833333035349 30.05416666960632)
HARYANA,YAMUNANAGAR,Betha,30.362499999748845,77.34027777955225,Manual,,,1996,POINT (77.34027777955225 30.36249999974885)
HARYANA,KAITHAL,Kathana-Pz,29.54583332970991,76.39305556022384,Manual,,,1996,POINT (76.39305556022384 29.54583332970991)
HARYANA,SONIPAT,Kharkhauda1,28.877777780004692,76.91250000001337,Manual,5.04,4.03,1996,POINT (76.91250000001337 28.87777778000469)
HARYANA,GURGAON,Budehra-DW,28.46111111032652,76.98472221990698,Manual,,,1996,POINT (76.98472221990698 28.46111111032652)
HARYANA,JHAJJAR,Gabhana,28.57083333003868,76.84166667043515,Manual,,,1996,POINT (76.84166667043515 28.57083333003868)
HARYANA,KARNAL,Indri,29.88055556028119,77.06250000007896,Manual,,,1996,POINT (77.06250000007896 29.88055556028119)
HARYANA,PANIPAT,Tajpur S,29.302222219735164,77.07499999964034,Manual,,,1996,POINT (77.07499999964034 29.30222221973516)
HARYANA,JIND,Lawan,29.675000000362118,76.04583333003363,Manual,3.2,1.78,1996,POINT (76.04583333003363 29.67500000036212)
HARYANA,KURUKSHETRA,Pehowa 3 (s),29.983333330392465,76.58055555963423,Manual,,,1996,POINT (76.58055555963423 29.98333333039247)
HARYANA,KARNAL,Sitamarhi,29.783333329924154,76.76666667003657,Manual,6.54,6.24,1996,POINT (76.76666667003657 29.78333332992415)
HARYANA,KURUKSHETRA,Thana (m),29.91999999988473,76.5013888901509,Manual,,,1996,POINT (76.50138889015091 29.91999999988473)
HARYANA,JIND,Gurusar-DW,29.757222220356315,76.11027777960805,Manual,,,1996,POINT (76.11027777960805 29.75722222035632)
HARYANA,PALWAL,Barauli1,28.077777780146803,77.43888888962269,Manual,,,1996,POINT (77.43888888962269 28.0777777801468)
HARYANA,FARIDABAD,GEPIL VILLAGE PALI MOHABATABAD CRUSHER ZONE FARIDABAD,28.399433999831267,77.22237799978576,MANUAL,,,1996,POINT (77.22237799978576 28.39943399983127)
HARYANA,ROHTAK,Giji-DW,28.818611110113554,76.77499999988173,Manual,,,1996,POINT (76.77499999988173 28.81861111011355)
HARYANA,MEWAT,Pipaka,28.22638888973083,77.02916667022727,Manual,,,1996,POINT (77.02916667022727 28.22638888973083)
HARYANA,REWARI,Khaliawas,28.208333330443693,76.74166667046613,Manual,,,1996,POINT (76.74166667046613 28.20833333044369)
HARYANA,KARNAL,Ghiar-Pz,29.77805556023965,77.09694444024238,Manual,,,1996,POINT (77.09694444024238 29.77805556023965)
HARYANA,KURUKSHETRA,Garhi Roran-PZ,29.963611109752716,76.73027777995064,Manual,,,1996,POINT (76.73027777995064 29.96361110975272)
HARYANA,SIRSA,Sri Jiwan Nagar,29.537500000453008,74.74166666985047,Manual,,,1996,POINT (74.74166666985047 29.53750000045301)
HARYANA,KARNAL,Kairiwali M,29.62222222013989,77.04166666966843,Manual,,,1996,POINT (77.04166666966843 29.62222222013989)
HARYANA,KAITHAL,Balbehra,30.025000000423645,76.38333332949716,Manual,,,1996,POINT (76.38333332949716 30.02500000042365)
HARYANA,JIND,Jind-Pz,29.321388889665478,76.30694444015091,Manual,,,1996,POINT (76.30694444015091 29.32138888966548)
HARYANA,KARNAL,Darar,29.85416666957923,77.10000000052041,Manual,,,1996,POINT (77.10000000052041 29.85416666957923)
HARYANA,YAMUNANAGAR,Damla-Pz,30.08333332987236,77.21666667046964,Manual,,,1996,POINT (77.21666667046964 30.08333332987236)
HARYANA,REWARI,Gurkawas-DW,28.252777779850394,76.63111111051249,Manual,,,1996,POINT (76.63111111051249 28.25277777985039)
HARYANA,KAITHAL,Manaspatti-Pz,29.829166670369712,76.32916667038495,Manual,,,1996,POINT (76.32916667038495 29.82916667036971)
HARYANA,JIND,Pipalthe,29.758333329685378,76.10000000032461,Manual,,,1996,POINT (76.10000000032461 29.75833332968538)
HARYANA,KARNAL,Sitaundi,29.56944443959949,76.99166666985295,Manual,,,1996,POINT (76.99166666985295 29.56944443959949)
HARYANA,HISAR,Muklan,29.06944444002997,75.65833332986509,Manual,8.3,8.05,1996,POINT (75.65833332986509 29.06944444002997)
HARYANA,KARNAL,Dupedi-DW,29.508333329658342,76.65888888988398,Manual,,,1996,POINT (76.65888888988398 29.50833332965834)
HARYANA,KARNAL,Jalmana,29.59166667013632,76.7083333300195,Manual,8.99,10.99,1996,POINT (76.7083333300195 29.59166667013632)
HARYANA,AMBALA,Bari Bassi-DW,30.462777780431882,77.07222221976086,Manual,,,1996,POINT (77.07222221976086 30.46277778043188)
HARYANA,KARNAL,Jaisingh Pura-Dw,29.541666670410706,76.6311111095631,Manual,,,1996,POINT (76.63111110956309 29.54166667041071)
HARYANA,KAITHAL,Barsana-Pz,29.715277780173988,76.59722222028911,Manual,,,1996,POINT (76.59722222028911 29.71527778017399)
HARYANA,REWARI,Kahari,28.299999999761585,76.46249999953936,Manual,,12.85,1996,POINT (76.46249999953936 28.29999999976159)
HARYANA,MEWAT,Chhapar,28.137500000382968,77.09861111036905,Manual,,,1996,POINT (77.09861111036905 28.13750000038297)
HARYANA,KARNAL,Kheri Sharfali,29.558333329938325,76.54166666948443,Manual,,,1996,POINT (76.54166666948443 29.55833332993832)
HARYANA,BHIWANI,Singhani,28.52777777986548,75.76111111007306,Manual,,,1996,POINT (75.76111111007306 28.52777777986548)
HARYANA,JIND,Pillukhera-Pz,29.357222219757908,76.49333333050451,Manual,,,1996,POINT (76.49333333050451 29.35722221975791)
HARYANA,FARIDABAD,Faridabad,28.42500000022481,77.30416666949634,Manual,,,1996,POINT (77.30416666949634 28.42500000022481)
HARYANA,PANIPAT,Lohari (m),29.358333330261694,76.83888889033481,Manual,,,1996,POINT (76.83888889033481 29.35833333026169)
HARYANA,AMBALA,Nanhera-DW,30.31111111041614,76.8461111097082,Manual,,,1996,POINT (76.8461111097082 30.31111111041614)
HARYANA,HISAR,Durjanpur,29.238888889726372,75.64583333028676,Manual,8.41,8.11,1996,POINT (75.64583333028676 29.23888888972637)
HARYANA,JIND,Gangoli-DW,29.299999999764186,76.52805556030046,Manual,,,1996,POINT (76.52805556030046 29.29999999976419)
HARYANA,SONIPAT,Baroda Mor-DW,29.14666666975872,76.62861111041738,Manual,,,1996,POINT (76.62861111041738 29.14666666975872)
HARYANA,YAMUNANAGAR,Chamrori-Pz,30.05000000016498,77.13333333005446,Manual,,,1996,POINT (77.13333333005446 30.05000000016498)
HARYANA,KURUKSHETRA,Brahan,29.991666670443944,77.04166666954471,Manual,,,1996,POINT (77.04166666954471 29.99166667044394)
HARYANA,MEWAT,Punhana-Pz,27.86111111014968,77.20555556015312,Manual,,,1996,POINT (77.20555556015312 27.86111111014968)
HARYANA,SONIPAT,Gorar-DW,28.947777780242923,76.81250000019539,Manual,,,1996,POINT (76.81250000019539 28.94777778024292)
HARYANA,SONIPAT,Mahara,29.098611109976677,76.68472221966293,Manual,4.37,3.53,1996,POINT (76.68472221966293 29.09861110997668)
HARYANA,GURGAON,Farrukh Nagar-Pz,28.44722222007407,76.824999999725,Manual,,,1996,POINT (76.82499999972499 28.44722222007407)
HARYANA,REWARI,Aulant,28.25833333044909,76.46666667017277,Manual,,,1996,POINT (76.46666667017277 28.25833333044909)
HARYANA,SIRSA,Dabwali,29.954166670338527,74.73750000034462,Manual,9.51,9.18,1996,POINT (74.73750000034462 29.95416667033853)
HARYANA,GURGAON,Sidrawali-Pz,28.266666670389505,76.83472222009206,Manual,,,1996,POINT (76.83472222009206 28.2666666703895)
HARYANA,KAITHAL,TUBEWELL NO. 1 NEAR UPSTREAM GHAGGAR RIVER VILLAGE CHIALI,30.128579999958248,76.43317600047712,MANUAL,,,1996,POINT (76.43317600047712 30.12857999995825)
HARYANA,SIRSA,Rania-DW,29.527777780448524,74.8499999999607,Manual,,,1996,POINT (74.8499999999607 29.52777778044852)
HARYANA,KAITHAL,Pharal,29.834722220088143,76.58472221976366,Manual,13.42,13.29,1996,POINT (76.58472221976366 29.83472222008814)
HARYANA,HISAR,Badchappar,29.11666667028197,76.30555556012727,Manual,1.44,1.43,1996,POINT (76.30555556012727 29.11666667028197)
HARYANA,GURGAON,Meoka-Pz,28.408888889538268,76.91916666978375,Manual,,,1996,POINT (76.91916666978375 28.40888888953827)
HARYANA,SONIPAT,Pipli-DW,28.864444439740453,76.94305556016046,Manual,,,1996,POINT (76.94305556016046 28.86444443974045)
HARYANA,GURGAON,Nurgarh-Pz,28.35833332977256,76.68055556001502,Manual,,,1996,POINT (76.68055556001502 28.35833332977256)
HARYANA,PANIPAT,Bilaspur2,29.241666669637407,77.12499999955766,Manual,,,1996,POINT (77.12499999955766 29.24166666963741)
HARYANA,KURUKSHETRA,Bapda-PZ,29.97277778003132,77.05722222029779,Manual,,,1996,POINT (77.05722222029779 29.97277778003132)
HARYANA,SONIPAT,Murthal,29.037499999629816,77.08749999983212,Manual,,,1996,POINT (77.08749999983212 29.03749999962982)
HARYANA,HISAR,Dhand-DW,29.319999999916767,76.01583332982077,Manual,,,1996,POINT (76.01583332982077 29.31999999991677)
HARYANA,FATEHABAD,Khajoori Jattan Ew,29.472777780104018,75.62750000005511,Manual,,,1996,POINT (75.62750000005511 29.47277778010402)
HARYANA,AMBALA,Shahzadpur-Pz,30.43333333013789,77.01666667043558,Manual,,,1996,POINT (77.01666667043558 30.43333333013789)
