STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
HARYANA,SIRSA,Kurangwali,29.775000000241555,75.06944444014755,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Choor Karsa-PZ,29.62805556042363,76.67444443996118,Manual,,,,,28.6,,,,,,,,2016
HARYANA,KAITHAL,Padla 1(s),29.79999999962725,76.29999999956073,Manual,,,,,,,,,,,43.77,,2016
HARYANA,MEWAT,Rathiwas,28.240277780379444,76.86944443961728,Manual,,,,,,,,,,,,,2016
HARYANA,KAITHAL,Kamalpur-DW,29.600555559922316,76.32777777973031,Manual,,,,,,,,,,,,,2016
HARYANA,GURGAON,Jhandu Sarai-Pz,28.399166669577937,76.87638888963164,Manual,,,,,,,,,,,,,2016
HARYANA,SONIPAT,Ahulana,29.119444440259098,76.64583333007228,Manual,,,,,3.22,,,1.82,,,2.76,,2016
HARYANA,YAMUNANAGAR,Choli,30.279166670396773,77.34166666952993,Manual,,,,,2.01,,,0.79,,,1.06,,2016
HARYANA,BHIWANI,Siwani,28.895833330446784,75.60416667047046,Manual,,,,,11.33,,,13.05,,,13.03,,2016
HARYANA,KAITHAL,Kalayat S,29.679166669987527,76.25277778018112,Manual,,,,,4.8,,,,,,4.6,,2016
HARYANA,REWARI,Balawas,28.10416666968021,76.52916666963846,Manual,,,,,13.79,,,,,,13.08,,2016
HARYANA,JHAJJAR,Badli,28.591666670422523,76.81666666968582,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Badhauli,30.358333329705236,77.0458333299313,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Tigrana-DW,28.842222220352042,76.14999999951362,Manual,,,,,,,,,,,,,2016
HARYANA,PANIPAT,Dumiana-Dw,29.332499999949928,76.71611110987008,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Kabulpur Ew,28.264166670100334,77.24555556016205,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Jundla,29.649999999628818,76.87499999978301,Manual,,,,,,,,,,,,,2016
HARYANA,JHAJJAR,Dubhaldhan,28.700000000216523,76.4944444404084,Manual,,,,,4.9,,,,,,4.37,,2016
HARYANA,MEWAT,VILLAGE BAGER MEO TEHSIL- RAMGARH ALWAR RAJASTHAN,27.718030999649788,76.99155600000734,MANUAL,,,,,,,,,,,,,2016
HARYANA,KAITHAL,Khanpur,29.85388888981363,76.37055555972927,Manual,,,,,37.2,,,,,,38.45,,2016
HARYANA,BHIWANI,Manhairu,28.702777780239376,76.21666667036686,Manual,,,,,5.77,,,5.42,,,4.45,,2016
HARYANA,JIND,Safidon 2(m),29.4041666695584,76.6555555600087,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Brahmanwas,29.13333333037972,76.40833332952204,Manual,,,,,9.4,,,8.15,,,8.35,,2016
HARYANA,JIND,Pipaltha-Pz,29.757222220356315,76.11027777960804,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Mehmadpur-Pz,29.724999999616358,77.11111111022923,Manual,,,,,,,,,,,,,2016
HARYANA,HISAR,Gurana,29.29999999965864,75.96666667036213,Manual,,,,,,,,,,,,,2016
HARYANA,MEWAT,Punhana,27.862499999714892,77.2041666701303,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Nikuwana-DW,30.383333330366845,77.08333332988063,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Mohra(shallowa),30.31666666984199,76.96666666951201,Manual,,,,,,,,,,,,,2016
HARYANA,FARIDABAD,"City Park,ballabgarh",28.3374999999492,77.32222222043555,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Alak Pura-DW,29.001388890342486,76.08388889012389,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Karnal D,29.68333333004513,76.94999999995044,Manual,,,,,16.41,,,,,,16.62,,2016
HARYANA,FATEHABAD,Dayar,29.283333330152143,75.26666666995673,Manual,,,,,,,,,,,,,2016
HARYANA,MAHENDRAGARH,Kheri,28.387499999802532,76.23055556040136,Manual,,,,,18.97,,,,,,19.84,,2016
HARYANA,BHIWANI,Bhandwa.,28.508888889587976,75.93138888972265,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Pinjola,30.262499999680735,76.61388888950098,Manual,,,,,5.72,,,5.34,,,5.32,,2016
HARYANA,AMBALA,Jauli-DW,30.35000000017805,77.08333332968213,Manual,,,,,,,,,,,,,2016
HARYANA,SIRSA,Chaharwala,29.284722220123772,75.21944444020224,Manual,,,,,,,,,,,,,2016
HARYANA,SONIPAT,Murthal-Pz,29.040555559954264,77.0911111103158,Manual,32.88,,,,33.02,,,33.85,,,34.87,,2016
HARYANA,GURGAON,Khera Khurrampur-Pz,28.441666670018886,76.77222222036504,Manual,,,,,18.93,,,,,,19.25,,2016
HARYANA,FATEHABAD,Bhuna S,29.533333329672182,75.70416667007602,Manual,,,,,,,,,,,,,2016
HARYANA,PANCHKULA,Chandi Mandir-DW,30.749722219699972,76.90305555998613,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Nagal (M),30.248611110341397,76.71666667049129,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Phusgarh-Pz,29.696944439850032,77.03055556039789,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Manoharpur,29.34722222041501,76.40000000032556,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Mangana-PZ,29.955833329651146,76.4924999999111,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Kharwal,29.61388888983159,75.96527777975707,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Balla- Pz,29.502777779977713,76.75055556004745,Manual,,,,,,,,,,,,,2016
HARYANA,REWARI,Dahina1,28.298611109946332,76.3805555597762,Manual,,,,,,,,,,,,,2016
HARYANA,PANIPAT,Khelalla Pehl S,29.293055560339123,76.979166670409,Manual,,,,,,,,,,,,,2016
HARYANA,ROHTAK,Rukhi,29.049444440103404,76.68055556021159,Manual,,,,,,,,,,,,,2016
HARYANA,MEWAT,Agaon-Pz,27.73055555965711,76.96527778023126,Manual,,,,,,,,,,,,,2016
HARYANA,REWARI,Pali-Pz,28.16555556000862,76.45611110972708,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Lohara-Pz,30.01888888985015,76.98749999979938,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Kot,27.95833332972267,77.2291666700016,Manual,,,,,9.37,,,8.74,,,9.01,,2016
